Question 1,
Date (UTC),2026-05-05
Session,1
Type,open
Question,What helped us learn
Respondents,19
,
Responses,Upvotes
Exercise sessions,0
Discussions,0
People helping each other out,0
The interactions in the small groups helped a lot.,0
The hands-on exercises,0
The break zoom with an expert helped me to learned a lot,0
"The material, exercise and discussions with partners. Peer groups was very very helpful.",0
Reading and trying the code by ourselves. Testing and then reading the answers you provided.,0
"Short theoretical sessions, followed by short hands-on exercises.",0
The slow pace of the course,0
course material quite compact!,0
Using the expert learners made everything easier.,0
Clear course material,0
How interactive the course is. We are encourage all the time to discuss and collaborate between us,0
"The coding sessions in the breakout rooms were good. I liked the assert statements session, I like how it imported os for file reading because that's something we will use in our project for the class",0
"- The short theory explanations before the paired sessions
- The discussion in paired sessions",0
"Be on time was great, so that the breaks are not missed and no time is wasted.",0
Having the teachers come around in the breakout rooms was helpful,0
"the material, and when the material was flawed or unclear, the the teacher clairifed. The most helpfull was the direct supervision by Lars on how to commit and sync in VS code",0
Meeting others,0
"The course was very didactic, and the interaction in group work helped me learn a lot.",0
Practical exercises with VCS and Git. We had problems and then we solved them in pairs or with help of the teacher. It was very good to take the time to actually solve the conflicts. Deep discussions.,0
The discussions we had in the break out groups. I also think the exercises made us think and reflect about hte topics in an interesting way.,0
"Writing code in vscode. 
Hands on experience. 
Exercise descriptions and answer examples were more explicit and concrete. 
Good pace.",0
"The documentation, the group exercises, the questions",0
Peer guidance,0
structure of the course and peer discussions,0
It was good,0
,
,
,
Question 2,
Date (UTC),2026-05-05
Session,1
Type,open
Question,"What Held us back, what stopped us from learning"
Respondents,16
,
Responses,Upvotes
Going well,0
Waiting in the main room for others to finish,0
My own preparation,0
"Nothing, all good.",0
Could not come up with any road blocks,0
Too little hands-on coding,0
"The afternoon sessions are harder due to the timing (after lunch, already tired).",0
Nothing.,0
Some concepts were difficult at first because I am still getting familiar with Git and programming workflows.,0
I had to spend quite a long time to help another student who hadnt done the preparations before the course. It was ok to do but it took away a lot of time from my own learning.,0
The less structured nature of the afternoon hindered a bit.,0
"Mostly usure about time slot for the exercises because of accelerated schedule. Would be good to have some type of timer, or clear time frame.",0
Weird git errors in VSCode,0
too many breaks maybe,0
Tiredness in the afternoon,0
The main issues was the short time to go through all the exercises.,0
Time constraint and extensive exercise.,0
"Too slow pace. And too much discussion of what the students are guessing about the topic,  while the correct answer was not discussed as much.",0
The examples not matching up with vs code,0
,
,
,
Question 3,
Date (UTC),2026-05-05
Session,1
Type,open
Question,"What can we do to improve, how can learning be improved "
Respondents,15
,
Responses,Upvotes
A bit more lecture,0
"Learning could be improved with more guided practice time for Git, GitHub, and VS Code workflows",0
The afternoon session could be more structured.,0
Some exercises did not include answers,0
A longer lunch break.,0
perhaps some fore focus on merge conflicts and different ways of dealing with them. (perhaps it is outside of this course's scope though).,0
Not sure,0
Maybe some more initial steps can be done in preparation for people who have not used git before,0
More specific information about time given/needed for exercises. Mark the most important part of the sections to be able faster move toward the exercises.,0
More specific instructions when writing code (do it through vs code etc.),0
Maybe not so many exercise for the assert section. It was very re-iterating and good but maybe can be used for one's own  pace instead of in the class.,0
Write some code in pairs and then swap so other people can read and compare.,0
"Maybe, have 5-10 minutes to go through the exercise answers with the instructors would be a good idea to improve understanding.",0
Maybe for the exercises of today's session the break room could have been with four-five students instead of pairs. There were more theoretical questions and more people could create a better discussi,0
"Probably the content of today could be learnt using much less than a whole day by having access to the material and using AI to help explain what i didnt , and then doing exercises together afterwards",0
maybe explain polymorphism,0
"Some people might a bit shy with questions. I guess having a place where they can post anonymous questions, might be good for them. And then address those questions during the lessons or afterwards.",0
,
,
,
Question 4,
Date (UTC),
Session,1
Type,scales
Question,
Respondents,0
,
No votes for this session,
,
,
,
Question 5,
Date (UTC),
Session,1
Type,scales
Question,
Respondents,0
,
No votes for this session,
,
,
,
Question 6,
Date (UTC),
Session,1
Type,scales
Question,
Respondents,0
,
No votes for this session,
,
,
,
Question 7,
Date (UTC),
Session,1
Type,scales
Question,
Respondents,0
,
No votes for this session,
